#Data tag : 19v3 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
317382:6755,06/03/18 16:34:21,71,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.027788964,0.024139434
317383:6755,06/03/18 17:05:19,58,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.023899464,0.022451239
317391:6757,06/04/18 03:21:59,8,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.003496514,0.002717287
317392:6757,06/04/18 03:27:44,1898,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.505356146,0.490656629
317435:6759,06/05/18 00:15:36,1397,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.374444906,0.360612921
317438:6759,06/05/18 09:20:20,307,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.051746867,0.049709578
317475:6761,06/05/18 18:13:47,68,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.027077537,0.025761150
317478:6761,06/05/18 18:47:21,23,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.008476414,0.007937242
317484:6761,06/05/18 19:51:18,523,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.165745170,0.160355997
317488:6761,06/05/18 23:26:30,844,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.186916038,0.181128073
317527:6763,06/06/18 22:52:12,1447,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.466677521,0.452099029
317591:6768,06/08/18 07:07:54,292,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.115251802,0.111116517
317626:6770,06/08/18 20:45:30,2006,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.546495591,0.528939540
317640:6772,06/09/18 13:47:48,801,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.271611233,0.261179265
317641:6772,06/09/18 19:02:09,1390,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.276436218,0.268315019
317648:6773,06/10/18 06:27:56,95,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.037465896,0.033881916
317649:6773,06/10/18 07:08:12,621,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.200450209,0.193211576
317650:6773,06/10/18 11:10:27,1304,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.264311478,0.255996426
317661:6774,06/10/18 21:56:59,1222,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.387535047,0.375651112
317663:6774,06/11/18 06:27:15,858,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.157242875,0.153301355
317683:6776,06/11/18 16:18:33,320,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.122368155,0.117851782
317696:6778,06/12/18 00:00:42,645,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.237876176,0.228786857
318733:6850,06/26/18 22:28:18,33,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.002986044,0.002792197
318828:6858,06/28/18 06:30:24,70,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.013680177,0.013229261
318872:6860,06/28/18 15:50:31,272,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.095225963,0.091854514
